Date,Exercise,Category,Weight (lbs),Reps,Distance,Distance Unit,Time,Comment
2021-08-02,Lat Pulldown,Back,70.0,10,,,,""
2021-08-02,Lat Pulldown,Back,70.0,10,,,,""
2021-08-02,Hammer Strength Chest Press,Chest,60.0,10,,,,""
2021-08-02,Hammer Strength Chest Press,Chest,60.0,10,,,,""
2021-08-02,Hammer Strength Chest Press,Chest,60.0,10,,,,""
2021-08-02,Torso Rotation,Abs,85.0,10,,,,""
2021-08-02,Torso Rotation,Abs,85.0,10,,,,""
2021-08-02,Torso Rotation,Abs,85.0,10,,,,""
2021-08-02,Torso Rotation,Abs,85.0,10,,,,""
2021-08-02,Torso Rotation,Abs,85.0,10,,,,""
2021-08-02,Torso Rotation,Abs,85.0,10,,,,""
2021-08-02,Torso Rotation,Abs,85.0,10,,,,""
2021-08-02,Torso Rotation,Abs,85.0,10,,,,""
2021-08-02,Torso Rotation,Abs,85.0,10,,,,""
2021-08-02,Torso Rotation,Abs,85.0,10,,,,""
2021-08-09,Back Extension,Back,85.0,10,,,,""
2021-08-09,Back Extension,Back,85.0,10,,,,""
2021-08-09,Back Extension,Back,85.0,10,,,,""
2021-08-09,Back Extension,Back,85.0,10,,,,""
2021-08-09,Barbell Curl,Biceps,15.0,70,,,,""
2021-08-09,Hammer Strength Row,Back,80.0,10,,,,""
2021-08-09,Hammer Strength Row,Back,80.0,10,,,,""
2021-08-09,Hammer Strength Row,Back,80.0,10,,,,""
2021-08-09,Hammer Strength Row,Back,80.0,10,,,,""
2021-08-09,Hammer Strength Row,Back,80.0,10,,,,""
2021-08-09,Hammer Strength Row,Back,80.0,10,,,,""
2021-08-09,Hammer Strength Row,Back,80.0,10,,,,""
2021-08-09,Hammer Strength Row,Back,80.0,10,,,,""
2021-08-09,Hammer Strength Row,Back,80.0,10,,,,""
2021-08-09,Hammer Strength Row,Back,90.0,10,,,,""
2021-08-09,Hammer Strength Chest Press,Chest,60.0,10,,,,""
2021-08-09,Hammer Strength Chest Press,Chest,60.0,10,,,,""
2021-08-09,Hammer Strength Chest Press,Chest,60.0,10,,,,""
2021-08-09,Hammer Strength Chest Press,Chest,60.0,10,,,,""
2021-08-09,Hammer Strength Chest Press,Chest,60.0,10,,,,""
2021-08-09,Torso Rotation,Abs,100.0,10,,,,""
2021-08-09,Torso Rotation,Abs,100.0,10,,,,""
2021-08-09,Torso Rotation,Abs,100.0,10,,,,""
2021-08-09,Torso Rotation,Abs,100.0,10,,,,""
2021-08-09,Torso Rotation,Abs,100.0,10,,,,""
2021-08-09,Torso Rotation,Abs,100.0,10,,,,""
2021-08-12,Hammer Strength Row,Back,80.0,10,,,,""
2021-08-12,Hammer Strength Row,Back,100.0,10,,,,""
2021-08-12,Hammer Strength Row,Back,100.0,10,,,,""
2021-08-12,Hammer Strength Row,Back,80.0,10,,,,""
2021-08-12,Hammer Strength Row,Back,80.0,10,,,,""
2021-08-12,Hammer Strength Row,Back,80.0,10,,,,""
2021-08-12,Hammer Strength Row,Back,80.0,10,,,,""
2021-08-12,Hammer Strength Row,Back,80.0,10,,,,""
2021-08-12,Hammer Strength Row,Back,80.0,10,,,,""
2021-08-12,Hammer Strength Row,Back,80.0,10,,,,""
2021-08-12,Hammer Strength Shoulder Press,Shoulders,80.0,10,,,,""
2021-08-12,Hammer Strength Shoulder Press,Shoulders,80.0,10,,,,""
2021-08-12,Hammer Strength Shoulder Press,Shoulders,80.0,10,,,,""
2021-08-12,Hammer Strength Shoulder Press,Shoulders,60.0,10,,,,""
2021-08-12,Hammer Strength Shoulder Press,Shoulders,60.0,8,,,,""
2021-08-12,Back Extension,Back,100.0,10,,,,""
2021-08-12,Barbell Curl,Biceps,15.0,40,,,,""
2021-08-12,Hammer Strength Chest Press,Chest,40.0,10,,,,""
2021-08-12,Hammer Strength Chest Press,Chest,40.0,10,,,,""
2021-08-17,Hammer Strength Chest Press,Chest,60.0,10,,,,""
2021-08-17,Hammer Strength Chest Press,Chest,60.0,10,,,,""
2021-08-17,Hammer Strength Chest Press,Chest,60.0,10,,,,""
2021-08-17,Hammer Strength Chest Press,Chest,80.0,10,,,,""
2021-08-17,Hammer Strength Chest Press,Chest,60.0,10,,,,""
2021-08-17,Hammer Strength Chest Press,Chest,60.0,10,,,,""
2021-08-17,Hammer Strength Row,Back,100.0,10,,,,""
2021-08-17,Hammer Strength Row,Back,100.0,10,,,,""
2021-08-17,Hammer Strength Row,Back,100.0,10,,,,""
2021-08-17,Hammer Strength Row,Back,100.0,10,,,,""
2021-08-17,Torso Rotation,Abs,100.0,10,,,,""
2021-08-17,Torso Rotation,Abs,115.0,10,,,,""
2021-08-17,Torso Rotation,Abs,115.0,10,,,,""
2021-08-17,Barbell Curl,Biceps,15.0,50,,,,""
2021-08-17,Back Extension,Back,100.0,10,,,,""
2021-08-17,Back Extension,Back,130.0,10,,,,""
2021-08-17,Back Extension,Back,100.0,10,,,,""
2021-08-17,Back Extension,Back,100.0,10,,,,""
2021-08-17,Back Extension,Back,100.0,10,,,,""
2021-08-24,Hammer Strength Chest Press,Chest,60.0,10,,,,""
2021-08-24,Hammer Strength Chest Press,Chest,60.0,10,,,,""
2021-08-24,Hammer Strength Chest Press,Chest,60.0,10,,,,""
2021-08-24,Hammer Strength Row,Back,100.0,10,,,,""
2021-08-24,Hammer Strength Row,Back,100.0,10,,,,""
2021-08-24,Hammer Strength Row,Back,100.0,10,,,,""
2021-08-24,Hammer Strength Row,Back,100.0,10,,,,""
2021-08-24,Hammer Strength Row,Back,120.0,10,,,,""
2021-08-24,Hammer Strength Row,Back,100.0,10,,,,""
2021-08-24,Barbell Curl,Biceps,17.5,50,,,,""
2021-08-24,Hammer Strength Row,Back,100.0,10,,,,""
2021-08-24,Hammer Strength Row,Back,100.0,10,,,,""
2021-08-24,Hammer Strength Row,Back,100.0,10,,,,""
2021-08-24,Hammer Strength Row,Back,100.0,10,,,,""
2021-08-24,Barbell Curl,Biceps,15.0,20,,,,""
2021-08-24,Back Extension,Back,85.0,10,,,,""
2021-08-24,Back Extension,Back,85.0,10,,,,""
2021-08-24,Back Extension,Back,85.0,10,,,,""
2021-08-26,Hammer Strength Shoulder Press,Shoulders,100.0,10,,,,""
2021-08-26,Hammer Strength Shoulder Press,Shoulders,100.0,10,,,,""
2021-08-26,Hammer Strength Shoulder Press,Shoulders,100.0,10,,,,""
2021-08-26,Barbell Curl,Biceps,17.5,40,,,,""
2021-08-26,Hammer Strength Shoulder Press,Shoulders,100.0,10,,,,""
2021-08-26,Hammer Strength Chest Press,Chest,80.0,10,,,,""
2021-08-26,Hammer Strength Chest Press,Chest,60.0,10,,,,""
2021-08-26,Torso Rotation,Abs,130.0,10,,,,""
2021-08-26,Torso Rotation,Abs,130.0,10,,,,""
2021-08-26,Torso Rotation,Abs,130.0,10,,,,""
2021-08-26,Torso Rotation,Abs,130.0,10,,,,""
2021-08-26,Torso Rotation,Abs,130.0,10,,,,""
2021-08-26,Torso Rotation,Abs,130.0,10,,,,""
2021-08-26,Torso Rotation,Abs,130.0,10,,,,""
2021-08-26,Torso Rotation,Abs,130.0,10,,,,""
2021-08-26,Torso Rotation,Abs,130.0,10,,,,""
2021-08-26,Torso Rotation,Abs,130.0,10,,,,""
2021-08-26,Back Extension,Back,115.0,10,,,,""
2021-08-26,Back Extension,Back,115.0,10,,,,""
2021-08-26,Back Extension,Back,115.0,8,,,,""
2021-08-31,Hammer Strength Row,Back,120.0,10,,,,""
2021-08-31,Hammer Strength Row,Back,120.0,8,,,,""
2021-08-31,Hammer Strength Row,Back,100.0,10,,,,""
2021-08-31,Hammer Strength Row,Back,100.0,10,,,,""
2021-08-31,Hammer Strength Row,Back,80.0,10,,,,""
2021-08-31,Hammer Strength Row,Back,80.0,10,,,,""
2021-08-31,Hammer Strength Row,Back,80.0,10,,,,""
2021-08-31,Hammer Strength Row,Back,80.0,10,,,,""
2021-08-31,Hammer Strength Row,Back,80.0,10,,,,""
2021-08-31,Hammer Strength Row,Back,80.0,10,,,,""
2021-08-31,Hammer Strength Shoulder Press,Shoulders,80.0,10,,,,""
2021-08-31,Hammer Strength Shoulder Press,Shoulders,80.0,10,,,,""
2021-08-31,Hammer Strength Shoulder Press,Shoulders,80.0,10,,,,""
2021-08-31,Hammer Strength Shoulder Press,Shoulders,80.0,10,,,,""
2021-08-31,Hammer Strength Shoulder Press,Shoulders,60.0,10,,,,""
2021-08-31,Hammer Strength Shoulder Press,Shoulders,60.0,10,,,,""
2021-08-31,Hammer Strength Shoulder Press,Shoulders,60.0,10,,,,""
